date, money
2017-01-17, 14.80
2017-01-18, 16.20
2017-02-10, 11.20
2017-02-10, 10.30
2017-02-13, 14.70
2017-02-15, 17.00
2017-02-20, 12.80
2017-03-06, 18.40
2017-03-14, 28.60
2017-03-16, 38.40
2017-03-16, 28.00
2017-03-17, 16.80
2017-03-18, 39.10
2017-03-18, 20.20
2017-03-19, 33.10
2017-03-19, 30.60
2017-03-20, 23.60
2017-03-21, 31.90
2017-03-22, 14.50
2017-03-23, 11.50
2017-03-24, 17.80
2017-03-27, 17.10
2017-03-28, 36.80
2017-03-29, 16.10
2017-03-30, 16.60
2017-03-31, 24.50
2017-04-03, 18.10
2017-04-04, 25.30
2017-04-04, 20.40
2017-04-06, 32.30
2017-04-07, 32.60
2017-04-07, 32.30
2017-04-08, 23.80
2017-04-10, 33.10
2017-04-11, 17.00
2017-04-13, 15.70
2017-04-15, 29.70
2017-04-15, 14.90
2017-04-16, 15.30
2017-04-18, 15.50
2017-04-19, 18.40
2017-04-21, 11.50
2017-04-23, 20.20
2017-04-26, 18.40
2017-04-27, 16.20
2017-04-28, 16.80
2017-05-02, 17.30
2017-05-03, 17.70
2017-05-04, 15.10
2017-05-05, 15.70
2017-05-06, 28.20
2017-05-11, 15.70
2017-05-18, 29.70
2017-06-08, 48.60
2017-06-27, 15.50
2017-06-28, 16.80
2017-07-17, 16.60
2017-07-25, 16.00
2017-07-26, 18.20
2017-07-27, 18.40
2017-07-28, 20.50
2017-08-01, 18.40
2017-08-02, 13.00
2017-08-07, 18.00
2017-08-08, 16.40
2017-08-09, 14.40
2017-08-14, 12.10
2017-08-15, 18.40
2017-08-16, 15.50
2017-08-18, 13.50
2017-08-21, 14.50
2017-08-23, 13.40
2017-08-25, 39.30
2017-08-25, 19.10
2017-08-29, 14.40

