date, stock, share, price
2016-12-30, 中国平安, 3600, 35.43
2016-12-30, 川投能源, 2700, 8.70
2016-12-30, 交大昂立, 4700, 7.50
2016-12-30, 海南航空, 1700, 3.26
2016-12-30, 光大转债, 0, 101.90
2016-12-30, 兴业银行, 0, 0
2016-12-30, 嘉实元和, 0, 0
2016-12-30, 15清控EB, 0, 0
2016-12-30, 辰欣药业, 0, 0
2016-12-30, 平安银行, 0, 0
2016-12-30, 宁波转债, 0, 0
2016-12-30, 万信转债, 0, 0
2016-12-30, 太阳转债, 0, 0
2016-12-30, 航电转债, 0, 0
2016-12-30, 双环转债, 0, 0
2016-12-30, H股ETF, 0, 0
2016-12-30, 上证指数, 0, 3103.64
2017-02-27, 中国平安, 400, 36.39
2017-03-10, 中国平安, 400, 35.59
2017-03-21, 川投能源, -2700, 9.23
2017-03-21, 中国平安, 600, 36.00
2017-03-24, 中国平安, 200, 36.40
2017-03-27, 中国平安, -200, 36.90
2017-03-30, 交大昂立, -4700, 6.68
2017-04-05, 光大转债, 100, 101.90
2017-04-06, 光大转债, -100, 103.30
2017-04-11, 中国平安, 400, 36.39
2017-04-17, 光大转债, 100, 101.68
2017-04-19, 光大转债, -100, 101.56
2017-04-19, 中国平安, 400, 35.54
2017-04-25, 海南航空, -1700, 3.37
2017-05-10, 川投能源, 1000, 9.29
2017-05-10, 兴业银行, 1000, 15.56
2017-05-11, 15清控EB, 150, 100.42
2017-05-12, 15清控EB, 150, 100.26
2017-05-18, 光大转债, 150, 100.35
2017-06-21, 川投能源, 4000, 9.51
2017-06-22, 15清控EB, -300, 104.83
2017-07-04, 川投能源, -4000, 9.78
2017-07-10, 中国平安, 0, 660
2017-07-10, 中国平安, 0, 220
2017-07-10, 中国平安, 0, 2310
2017-07-13, 川投能源, 0, 300
2017-07-21, 光大转债, -150, 113.17
2017-07-21, 兴业银行, 1000, 17.91
2017-08-18, 兴业银行, 1500, 17.12
2017-08-18, 嘉实元和, 10000, 1.123
2017-08-25, 嘉实元和, 10000, 1.112
2017-08-30, 兴业银行, 1000, 18.05
2017-08-30, 兴业银行, 1000, 17.83
2017-09-04, 中国平安, 0, 200
2017-09-04, 中国平安, 0, 600
2017-09-04, 中国平安, 0, 2100
2017-09-14, 中国平安, 300, 53.99
2017-09-21, 辰欣药业, 1000, 11.66
2017-10-17, 辰欣药业, -500, 32.20
2017-11-01, 川投能源, -1000, 10.07
2017-11-02, 兴业银行, 900, 17.09
2017-11-08, 嘉实元和, 0, 255
2017-11-10, 平安银行, 2000, 12.42 
2017-11-14, 济川转债, 10, 100
2017-11-17, 辰欣药业, -500, 22.12
2017-11-17, 平安银行, 2000, 13.09
2017-11-28, 平安银行, 1000, 13.48
2017-11-28, 平安银行, -1000, 13.60
2017-11-29, 济川转债, -10, 102.14
2017-12-01, 中国平安, 300, 69.72
2017-12-06, 宁行转债, 10, 100
2017-12-12, 嘉实元和, 15000, 1.058
2017-12-15, 平安银行, 1000, 12.73
2017-12-20, 平安银行, 5000, 13.26
2017-12-20, 平安银行, -5000, 13.30
2017-12-20, 兴业银行, 1500, 17.11
2017-12-20, 兴业银行, -1500, 17.15
2017-12-20, 兴业银行, 1500, 17.15
2017-12-20, 万信转债, 10, 100
2017-12-22, 中国平安, -1800, 74.90
2017-12-22, 中国平安, 1800, 74.74
2017-12-25, 中国平安, 800, 74.01
2017-12-25, 平安银行, 2700, 13.36
2017-12-26, H股ETF, 30500, 1.241
2017-12-26, 太阳转债, 10, 100
2017-12-27, 航电转债, 20, 100
2017-12-27, 双环转债, 10, 100
N/A, 中国平安, 0, 69.98
N/A, 宁行转债, 0, 100
N/A, 万信转债, 0, 100
N/A, 川投能源, 0, 10.18
N/A, 平安银行, 0, 13.30
N/A, 辰欣药业, 0, 0
N/A, 济川转债, 0, 0
N/A, 海南航空, 0, 0
N/A, 交大昂立, 0, 0
N/A, 光大转债, 0, 0
N/A, 太阳转债, 0, 100
N/A, 双环转债, 0, 100
N/A, 万信转债, 0, 100
N/A, 航电转债, 0, 100
N/A, H股ETF, 0, 1.235
N/A, 兴业银行, 0, 16.99
N/A, 15清控EB, 0, 0
N/A, 嘉实元和, 0, 1.067
N/A, 上证指数, 0, 3307.17

